,2day_kahu,solan,kahu,arki,kasauli,kandaghat,90day_kahu,4day_kahu
124,3.3,0.0,2.5,0.0,1.0,2.18,4.788888888888889,4.95
125,28.5,38.9,26.5,40.4,61.0,49.2,3.575555555555555,21.25
126,7.0,7.2,3.0,10.4,4.5,5.4,8.917777777777777,12.45
127,35.5,4.6,2.0,107.0,2.0,28.9,4.443333333333333,9.375
128,10.6,10.2,8.2,0.0,14.5,24.3,1.1277777777777778,2.65
129,32.8,2.4,7.3,27.0,0.0,25.0,2.5444444444444443,15.3
130,66.8,18.0,53.0,105.0,19.5,48.875,3.188888888888889,22.9
131,0.0,0.0,0.0,0.0,6.0,0.0,3.7233333333333336,9.5
132,62.5,14.8,13.0,4.0,0.5,5.0,5.2877777777777775,36.05
133,0.4,3.0,0.4,6.0,1.0,2.6,4.033333333333333,5.775
134,3.4,0.0,0.0,0.0,0.0,0.0,1.4522222222222223,4.325
135,2.1,22.4,1.7,4.4,2.5,7.9,4.571111111111111,9.075
136,0.0,0.0,0.0,0.0,0.0,16.8,0.6811111111111111,2.375
137,10.0,75.2,0.0,5.0,85.5,48.2,3.8344444444444448,2.5
138,0.6,0.0,0.6,0.0,0.0,0.8,6.428888888888889,0.575
139,0.0,1.8,0.0,0.0,5.2,0.0,7.20888888888889,8.1
140,2.4,9.6,0.9,0.0,7.5,0.4,6.413333333333334,20.075
141,16.5,8.2,16.5,30.6,19.0,44.6,1.653333333333333,5.375
142,4.0,0.0,4.0,0.0,7.5,0.0,4.31,2.125000000000004
143,20.7,6.0,20.7,0.0,113.0,1.0,4.823333333333333,9.050000000000004
144,31.7,0.0,0.0,0.0,0.0,0.0,6.63111111111111,7.925
145,14.5,0.0,0.5,0.0,25.0,25.0,3.332222222222222,12.75
146,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,8.363888888888889,2.2250000000000005
147,29.8,1.6,3.0,0.0,0.0,2.1,8.19111111111111,11.2
148,0.0,1.7,0.0,0.0,4.0,0.0,3.6855555555555553,0.65
149,11.8,1.2,11.8,5.0,35.0,13.25,3.7655555555555553,6.300000000000001
150,0.6,0.0,0.0,0.0,0.0,0.0,1.6222222222222222,0.15
151,13.7,0.0,1.2,20.0,4.5,6.425,1.6933333333333334,12.225
152,28.9,17.6,18.5,100.4,24.5,12.0,8.0,43.225
153,1.0,0.0,0.0,0.0,0.0,0.0,3.847777777777778,0.25
154,29.2,17.6,29.2,70.2,39.5,54.2,3.6088888888888886,7.300000000000003
155,32.1,1.2,30.5,2.0,1.0,0.0,5.23,14.25
156,1.7000000000000002,11.6,0.8,13.6,10.5,1.2,6.422222222222223,12.3
157,0.8,0.0,0.0,0.0,0.0,0.0,5.7877777777777775,3.85
158,5.4,5.8,0.9,0.0,0.0,0.2,5.382222222222222,1.35
159,6.5,2.8,6.5,0.0,10.6,0.0,6.245555555555556,1.625
160,14.6,4.6,1.8,1.1,0.0,2.2,9.432222222222222,3.775
161,0.0,0.0,0.0,95.6,53.0,37.15,1.3577777777777778,0.0
162,33.4,3.0,13.4,33.0,42.0,7.0,7.482222222222223,8.55
163,5.6,0.0,0.8,0.2,0.0,0.0,8.98111111111111,5.1000000000000005
164,0.5,0.0,0.0,0.0,2.5,0.0,3.304444444444445,7.250000000000001
165,23.5,2.8,0.5,2.0,0.0,1.1,8.615555555555556,5.875
166,51.2,15.0,20.2,0.9,32.5,8.6,1.951111111111111,23.175
167,60.5,18.0,55.5,14.6,14.0,12.2,3.247777777777777,35.525
168,0.0,0.0,0.0,0.0,1.0,0.0,9.05888888888889,3.425
169,1.2,0.0,0.0,0.0,1.0,0.25,1.3877777777777778,5.875
170,10.0,0.0,0.0,0.0,0.0,0.0,5.411111111111111,3.825
171,0.0,2.0,0.0,0.0,5.5,1.875,3.3544444444444443,0.625
172,0.0,0.0,0.0,0.0,7.2,0.0,4.915555555555556,17.125
173,0.8,0.0,0.8,0.0,6.0,0.0,7.111111111111111,0.275
174,35.0,79.2,35.0,24.4,73.0,95.0,4.0744444444444445,9.3
175,13.7,12.8,8.9,0.0,15.0,31.0,8.599444444444446,5.300000000000001
176,0.7,0.0,0.7,0.0,0.0,0.0,6.133333333333334,1.3
177,3.0,0.0,0.0,0.0,0.0,0.0,8.19111111111111,11.2
178,1.3,0.0,0.0,0.0,0.0,0.0,3.3344444444444448,0.6750000000000009
179,8.5,0.0,7.5,10.0,80.5,24.5,6.066666666666666,5.125
