date,Kahu,Kandaghat,Kasauli,Solan,Arki
30-05-2011,7.2,0,3.5,1.4,5
31-05-2011,0,0,0,0,0
01-06-2011,8.5,6,6,6.8,10
02-06-2011,31.3,40.7,40.5,37.7,4
03-06-2011,0,0,0,0,0
04-06-2011,0,0,0,0,0
05-06-2011,0,0,0,0,0
06-06-2011,0,0,0,0,0
07-06-2011,0,0,0,1.5,0
08-06-2011,12,0,6,6.1,5
09-06-2011,0,0,0,0,0
10-06-2011,2.5,41,4.5,4.2,22
11-06-2011,0,20,0,0,0
12-06-2011,13.7,38,23,15,15
13-06-2011,0,27,0,0,0
14-06-2011,0,15,0,0,0
15-06-2011,28.4,11,16,1.8,15
16-06-2011,25.5,29,16.5,38.8,28
17-06-2011,7.3,25,0,2.4,27
18-06-2011,4.8,8.2,29,2.6,2
19-06-2011,0,0,0,0,0
20-06-2011,0,0,0,0,0
21-06-2011,0,0,0,0,0
22-06-2011,0,0,0,0,0
23-06-2011,1,0,0,0,0
24-06-2011,17.1,10.2,26.5,1,0
25-06-2011,0,0,0,0,0
26-06-2011,0,5.1,0,13.6,0
27-06-2011,30.4,8.1,16,14.2,10
28-06-2011,0,0,5.5,0,0
29-06-2011,30.2,45.1,26,27.8,4
30-06-2011,38,14.3,18.5,4.7,21
01-07-2011,0,0,53,5,0
02-07-2011,0,0,12,0,0
03-07-2011,0,0,6,0,0
04-07-2011,0,0,0,0,8
05-07-2011,0,0,0,0,0
06-07-2011,0,0,0,0,0
07-07-2011,0,0,0.5,0.7,0
08-07-2011,10,0,6.5,4.8,0
09-07-2011,0,48.2,85.5,75.2,5
10-07-2011,3.7,5,8,4.7,0
11-07-2011,0,0,22.5,7,0
12-07-2011,0,30.1,3,0,0
13-07-2011,0.5,0,9.5,13.2,4
14-07-2011,1.5,0,2,0,1
15-07-2011,81,53,25.5,53,28
16-07-2011,24.6,75.2,92,76.2,56
17-07-2011,0.3,1.1,6.5,0,14
18-07-2011,1.6,48.2,25,1.1,20
19-07-2011,30.5,0,1,1.2,2
20-07-2011,0,0,2.5,0,0
21-07-2011,0,0,15,0,0
22-07-2011,0,0,0,0,0
23-07-2011,0,8.2,1.5,0.8,2
24-07-2011,1,3.2,13.5,0,4
25-07-2011,0,11.3,3,10.4,1
26-07-2011,5.3,4.3,3.5,3.8,0
27-07-2011,0,7,7.5,15,4
28-07-2011,10,1.4,0,0,0
29-07-2011,0,0,0,0,0
30-07-2011,0,0,0.5,0,0
31-07-2011,0,0,0,0,0
01-08-2011,0,1.3,12,0,10
02-08-2011,4,2.1,2,0,0
03-08-2011,0.5,0,6.5,1.6,0
04-08-2011,0,0,2,0,0
05-08-2011,1.8,10.1,2,2.4,5
06-08-2011,0,0,1.5,0,0
07-08-2011,4,0,0,0,0
08-08-2011,0,20.1,2,10.6,0
09-08-2011,0,0,5,0,5
10-08-2011,0,2.3,0.5,0,0
11-08-2011,0,3.2,4.5,2.5,0
12-08-2011,3.5,17.2,2,2.4,0
13-08-2011,59,16,6.5,11.6,0
14-08-2011,53,0,5,0,15
15-08-2011,4.3,12,49.5,23.5,45
16-08-2011,138,63,83,32.2,160
17-08-2011,0,0,0,0,2
18-08-2011,0,0,7,0,0
19-08-2011,0,0,17.5,0,0
20-08-2011,23,50,62.5,69.7,54
21-08-2011,0.5,1.1,0,2.8,2
22-08-2011,0,16.2,28.5,9,0
23-08-2011,0,0,9.5,0,0
24-08-2011,2.5,0,1,1.8,0
25-08-2011,0,0,0,0,0
26-08-2011,0.2,0,0,0,0
27-08-2011,14,16.2,10,20,48
28-08-2011,29.5,0,5.5,0,0
29-08-2011,1.9,4.1,2,0,2
30-08-2011,0,0,9,0,0
31-08-2011,0,0,0,0,0
01-09-2011,0,0,0.5,0,1
02-09-2011,0,2.2,0,0,0
03-09-2011,0,19.9,0,0.8,0
04-09-2011,2.5,2,0,1.5,0
05-09-2011,0,0,0,0,0
06-09-2011,0,0,0,0,0
07-09-2011,0,4,1.5,1.2,0
08-09-2011,0,1.3,0,0,0
09-09-2011,17.8,6.1,19,2.5,13
10-09-2011,25.5,9.3,22,1.4,8
11-09-2011,2.7,0,5,1,10
12-09-2011,5.5,0.4,9,0,0
13-09-2011,12,0,0,1,0
14-09-2011,0,0,0,0,0
15-09-2011,15,0,0,0,4
16-09-2011,26.8,18.3,6,19,12
17-09-2011,3,2.1,0,1.6,0
18-09-2011,0,0,0,0,0
19-09-2011,0,0,0,0,0
20-09-2011,0,0,0,0,0
21-09-2011,0,0,0,0,0
22-09-2011,0,0,0,0,0
23-09-2011,0,0,0,0,0
24-09-2011,0,0,0,0,0
