,kahu,date,discharge,arki,3day_arki,kahu,3day_kahu,90day_kahu
95,20.7,2010-09-14,36.55704947700033,1.0,3.333333333333333,20.7,10.466666666666669,7.229444444444444
96,7.2,2010-09-15,29.761006197000267,0.0,2.6666666666666665,7.2,10.5,7.309444444444445
97,0.0,2010-09-16,26.33466771000024,0.0,0.3333333333333333,0.0,9.3,7.309444444444445
98,0.0,2010-09-17,23.75783463300021,0.0,0.0,0.0,2.4,7.309444444444445
99,5.5,2010-09-20,21.43585317900019,0.0,0.0,5.5,1.8333333333333333,7.353888888888889
100,0.0,2010-09-21,18.405950550000163,0.0,0.0,0.0,1.8333333333333333,7.277222222222223
101,17.0,2010-09-22,262.1573695260024,42.0,14.0,17.0,7.5,7.021666666666667
102,41.9,2010-09-23,157.1018671560014,39.0,27.0,41.9,19.633333333333333,7.487222222222223
103,0.0,2010-09-24,70.16914686600063,0.0,27.0,0.0,19.633333333333333,7.487222222222223
104,1.0,2010-09-25,57.79468472700052,0.0,13.0,1.0,14.3,7.498333333333334
105,0.0,2010-09-26,50.94200775300045,0.0,0.0,0.0,0.3333333333333333,7.187222222222222
106,0.0,2010-09-27,40.01170481100036,0.0,0.0,0.0,0.3333333333333333,7.181666666666667
107,0.0,2011-05-31,1.472476044000013,0.0,1.6666666666666667,0.0,2.399999999999998,1.4111111111111112
108,8.5,2011-06-01,1.7556445140000156,10.0,5.0,8.5,5.233333333333332,1.4855555555555555
109,31.3,2011-06-02,3.681190110000033,4.0,4.666666666666667,31.3,13.266666666666666,1.551111111111111
110,0.0,2011-06-03,3.171486864000028,0.0,4.666666666666667,0.0,13.266666666666666,1.551111111111111
111,0.0,2011-06-04,2.803367853000025,0.0,1.3333333333333333,0.0,10.433333333333332,1.551111111111111
112,12.0,2011-06-08,1.217624421000011,5.0,1.6666666666666667,12.0,3.999999999999998,1.6844444444444444
113,0.0,2011-06-09,1.444159197000013,0.0,1.6666666666666667,0.0,3.999999999999998,1.6844444444444444
114,2.5,2011-06-10,1.472476044000013,22.0,9.0,2.5,4.833333333333331,1.712222222222222
115,0.0,2011-06-11,1.5007928910000137,0.0,7.333333333333333,0.0,0.8333333333333309,1.712222222222222
116,13.7,2011-06-12,4.020992274000036,15.0,12.333333333333334,13.7,5.399999999999998,1.8644444444444448
117,0.0,2011-06-13,3.34138794600003,0.0,5.0,0.0,4.566666666666664,1.8644444444444448
118,0.0,2011-06-14,2.010496137000018,0.0,5.0,0.0,4.566666666666664,1.8644444444444448
119,28.4,2011-06-15,4.247527050000038,15.0,5.0,28.4,9.466666666666663,2.18
120,25.5,2011-06-16,33.2439783780003,28.0,14.333333333333334,25.5,17.966666666666665,2.4633333333333334
121,7.3,2011-06-17,79.45707268200071,27.0,23.33333333333333,7.3,20.399999999999995,2.5444444444444443
122,4.8,2011-06-18,13.252284396000118,2.0,19.0,4.8,12.533333333333331,2.597777777777778
123,0.0,2011-06-19,6.852676974000061,0.0,9.666666666666666,0.0,4.0333333333333306,2.597777777777778
124,0.0,2011-06-20,4.389111285000039,0.0,0.6666666666666666,0.0,1.5999999999999976,2.597777777777778
125,1.0,2011-06-23,3.652873263000033,0.0,0.0,1.0,0.333333333333331,2.608888888888889
126,17.1,2011-06-24,4.785547143000043,0.0,0.0,17.1,6.033333333333331,2.798888888888889
127,0.0,2011-06-25,3.567922722000032,0.0,0.0,0.0,6.033333333333331,2.798888888888889
128,0.0,2011-06-26,5.097032460000046,0.0,0.0,0.0,5.699999999999998,2.798888888888889
129,30.4,2011-06-27,3.992675427000036,10.0,3.333333333333333,30.4,10.133333333333333,3.1366666666666667
130,0.0,2011-06-28,5.833270482000052,0.0,3.333333333333333,0.0,10.133333333333333,2.97
131,30.2,2011-06-29,12.232877904000109,4.0,4.666666666666667,30.2,20.2,3.305555555555556
132,38.0,2011-06-30,10.22238176700009,21.0,8.333333333333334,38.0,22.73333333333333,3.727777777777778
