date,2day_kahu,discharge,solan,kahu,arki,kasauli,kandaghat,90day_kahu,2day_max_kahu,4day_kahu,3day_kahu,3day_kasauli,3day_kandaghat,3day_arki,3day_solan
2013-07-04,19.0,8.383,0.0,0.0,0.0,0.0,0.0,3.252222222222222,19.0,4.75,6.333333333333333,7.5,4.736951571734001e-15,17.733333333333338,9.200000000000003
2013-07-05,0.0,6.514,0.5,0.0,0.0,0.0,0.0,3.252222222222222,0.0,4.75,6.333333333333333,7.5,4.736951571734001e-15,17.733333333333338,9.366666666666669
2013-07-06,0.5,5.664,0.0,0.5,2.4,1.0,0.0,3.2577777777777777,0.5,4.875,0.16666666666666666,0.3333333333333333,4.736951571734001e-15,0.8000000000000024,0.16666666666666904
2013-07-07,24.0,6.702444444,24.4,23.5,0.0,41.0,15.8,3.5188888888888887,23.5,6.0,8.0,14.0,5.266666666666672,0.8000000000000024,8.300000000000002
2013-07-08,23.5,21.25888889,30.4,0.0,11.2,0.0,22.6,3.5188888888888887,23.5,6.0,8.0,14.0,12.800000000000006,4.533333333333336,18.26666666666667
2013-07-09,19.2,18.408,6.6,19.2,27.6,12.0,14.8,3.732222222222222,19.2,10.8,14.233333333333334,17.666666666666668,17.733333333333338,12.933333333333337,20.46666666666667
2013-07-10,25.7,13.68833333,0.0,6.5,16.8,0.0,0.0,3.804444444444444,19.2,12.3,8.566666666666666,4.0,12.466666666666674,18.533333333333335,12.333333333333336
2013-07-11,20.5,7.618,0.0,14.0,3.4,0.0,0.0,3.96,14.0,9.925,13.233333333333334,4.0,4.933333333333338,15.933333333333335,2.2000000000000024
2013-07-12,14.0,6.089,0.0,0.0,0.0,0.0,0.0,3.96,14.0,9.925,6.833333333333333,0.0,4.736951571734001e-15,6.733333333333335,2.3684757858670005e-15
2013-07-13,1.0,5.830888889,0.0,1.0,0.0,0.0,0.0,3.971111111111111,1.0,5.375,5.0,0.0,4.736951571734001e-15,1.1333333333333357,2.3684757858670005e-15
2013-07-14,2.0,4.673,0.0,1.0,0.0,9.0,1.4,3.982222222222222,1.0,4.0,0.6666666666666666,3.0,0.4666666666666714,2.3684757858670005e-15,2.3684757858670005e-15
2013-07-15,16.5,53.31328889,0.0,15.5,34.0,0.0,0.0,4.154444444444445,15.5,4.375,5.833333333333333,3.0,0.4666666666666714,11.333333333333336,2.3684757858670005e-15
